Document_ID,Frequency,Replacement_Type,Target_Queries_Total,Target_Accuracy_Before,Target_Accuracy_After,Target_Accuracy_Drop,Target_Relevant_Accuracy_Before,Target_Relevant_Accuracy_After,Target_Relevant_Accuracy_Drop,Other_Queries_Total,Other_Accuracy_Before,Other_Accuracy_After,Other_Accuracy_Drop,Other_Relevant_Accuracy_Before,Other_Relevant_Accuracy_After,Other_Relevant_Accuracy_Drop,Overall_Accuracy_Before,Overall_Accuracy_After,Overall_Accuracy_Drop,Execution_Time
2182,0.05,zero_out,229,100.0,97.37991266375546,2.6200873362445414,100.0,99.12663755458514,0.8733624454148471,26123,100.0,96.53179190751445,3.4682080924855487,100.0,98.40753359108831,1.5924664089116871,0,0,0,62.95370364189148
2182,0.1,zero_out,229,100.0,96.94323144104804,3.056768558951965,100.0,97.81659388646288,2.1834061135371177,26123,100.0,89.88247904145771,10.117520958542281,100.0,93.9670022585461,6.032997741453891,0,0,0,74.3266224861145
2182,0.15,zero_out,229,100.0,68.5589519650655,31.4410480349345,100.0,68.99563318777294,31.004366812227076,26123,100.0,76.01730276001992,23.982697239980094,100.0,80.76024958848524,19.23975041151476,0,0,0,82.55224013328552
2182,0.2,zero_out,229,100.0,2.1834061135371177,97.81659388646288,100.0,2.1834061135371177,97.81659388646288,26123,100.0,57.71925123454427,42.280748765455726,100.0,62.190406921104014,37.80959307889599,0,0,0,82.4157702922821
2182,0.25,zero_out,229,100.0,0.43668122270742354,99.56331877729258,100.0,0.8733624454148471,99.12663755458514,26123,100.0,50.124411438196226,49.875588561803774,100.0,54.28166749607626,45.71833250392375,0,0,0,82.95482969284058
2182,0.3,zero_out,229,100.0,0.0,100.0,100.0,0.43668122270742354,99.56331877729258,26123,100.0,47.51751330245378,52.48248669754623,100.0,51.502507368985185,48.497492631014815,0,0,0,83.16239380836487
758,0.05,zero_out,6,100.0,100.0,0.0,100.0,100.0,0.0,26346,100.0,99.04349806422226,0.9565019357777272,100.0,99.62802702497532,0.3719729750246717,0,0,0,59.22555708885193
758,0.1,zero_out,6,100.0,33.33333333333333,66.66666666666666,100.0,33.33333333333333,66.66666666666666,26346,100.0,97.23297654292871,2.767023457071282,100.0,98.74743794124345,1.2525620587565476,0,0,0,57.876940965652466
758,0.15,zero_out,6,100.0,33.33333333333333,66.66666666666666,100.0,33.33333333333333,66.66666666666666,26346,100.0,95.68815000379564,4.311849996204358,100.0,97.88203142792075,2.117968572079253,0,0,0,60.218732595443726
758,0.2,zero_out,6,100.0,16.666666666666664,83.33333333333334,100.0,16.666666666666664,83.33333333333334,26346,100.0,94.64814393076747,5.351856069232521,100.0,97.40757610263418,2.592423897365824,0,0,0,61.12100291252136
758,0.25,zero_out,6,100.0,16.666666666666664,83.33333333333334,100.0,16.666666666666664,83.33333333333334,26346,100.0,94.26478402793593,5.73521597206407,100.0,97.1418811204737,2.8581188795263035,0,0,0,61.47016358375549
758,0.3,zero_out,6,100.0,16.666666666666664,83.33333333333334,100.0,16.666666666666664,83.33333333333334,26346,100.0,94.04843239960525,5.951567600394747,100.0,97.00144234418887,2.998557655811129,0,0,0,65.36913657188416
21404,0.05,zero_out,14,100.0,100.0,0.0,100.0,100.0,0.0,26338,100.0,99.02422355531931,0.9757764446806896,100.0,99.6089300630268,0.39106993697319464,0,0,0,55.499603271484375
21404,0.1,zero_out,14,100.0,92.85714285714286,7.142857142857142,100.0,92.85714285714286,7.142857142857142,26338,100.0,97.40299187485762,2.5970081251423798,100.0,98.95208444073202,1.0479155592679779,0,0,0,58.41157817840576
21404,0.15,zero_out,14,100.0,64.28571428571429,35.714285714285715,100.0,64.28571428571429,35.714285714285715,26338,100.0,96.10448781228644,3.89551218771357,100.0,98.36737793302453,1.6326220669754727,0,0,0,60.73842787742615
21404,0.2,zero_out,14,100.0,21.428571428571427,78.57142857142857,100.0,21.428571428571427,78.57142857142857,26338,100.0,94.87432606879793,5.125673931202066,100.0,97.84721694889514,2.1527830511048673,0,0,0,61.74010133743286
21404,0.25,zero_out,14,100.0,14.285714285714285,85.71428571428571,100.0,14.285714285714285,85.71428571428571,26338,100.0,94.54400485989825,5.455995140101754,100.0,97.71812590173893,2.281874098261068,0,0,0,62.059038162231445
21404,0.3,zero_out,14,100.0,14.285714285714285,85.71428571428571,100.0,14.285714285714285,85.71428571428571,26338,100.0,94.35036828916394,5.649631710836054,100.0,97.66117396917002,2.3388260308299795,0,0,0,65.99831485748291
9701,0.05,zero_out,76,100.0,96.05263157894737,3.9473684210526314,100.0,100.0,0.0,26276,100.0,97.53006545897397,2.4699345410260314,100.0,98.93438879585933,1.0656112041406607,0,0,0,59.22751474380493
9701,0.1,zero_out,76,100.0,55.26315789473685,44.73684210526316,100.0,61.8421052631579,38.15789473684211,26276,100.0,93.38559902572689,6.6144009742731,100.0,96.42639671182829,3.5736032881717157,0,0,0,67.89521408081055
9701,0.15,zero_out,76,100.0,0.0,100.0,100.0,0.0,100.0,26276,100.0,87.46384533414523,12.536154665854774,100.0,91.87090881412696,8.12909118587304,0,0,0,72.59738349914551
9701,0.2,zero_out,76,100.0,0.0,100.0,100.0,0.0,100.0,26276,100.0,81.90744405541179,18.092555944588216,100.0,86.97290302938042,13.027096970619576,0,0,0,74.33568263053894
9701,0.25,zero_out,76,100.0,0.0,100.0,100.0,0.0,100.0,26276,100.0,79.90561729334755,20.094382706652457,100.0,85.03957984472522,14.960420155274775,0,0,0,78.71356391906738
9701,0.3,zero_out,76,100.0,0.0,100.0,100.0,0.0,100.0,26276,100.0,78.62307809407825,21.376921905921755,100.0,83.81412695996346,16.185873040036537,0,0,0,74.9589593410492
9615,0.05,zero_out,38,100.0,100.0,0.0,100.0,100.0,0.0,26314,100.0,97.69704339895114,2.302956601048871,100.0,99.06133617085962,0.9386638291403815,0,0,0,58.76872158050537
9615,0.1,zero_out,38,100.0,94.73684210526315,5.263157894736842,100.0,100.0,0.0,26314,100.0,94.43642167667402,5.563578323325986,100.0,97.3702211750399,2.6297788249600975,0,0,0,66.28388023376465
9615,0.15,zero_out,38,100.0,57.89473684210527,42.10526315789473,100.0,63.1578947368421,36.84210526315789,26314,100.0,90.80717488789237,9.192825112107624,100.0,94.77464467583796,5.225355324162043,0,0,0,70.27572202682495
9615,0.2,zero_out,38,100.0,2.631578947368421,97.36842105263158,100.0,5.263157894736842,94.73684210526315,26314,100.0,87.65676065972487,12.343239340275138,100.0,92.41468419852549,7.5853158014745,0,0,0,75.4342474937439
9615,0.25,zero_out,38,100.0,2.631578947368421,97.36842105263158,100.0,5.263157894736842,94.73684210526315,26314,100.0,86.42927719084898,13.570722809151023,100.0,91.3126092574295,8.687390742570495,0,0,0,72.15568685531616
9615,0.3,zero_out,38,100.0,2.631578947368421,97.36842105263158,100.0,5.263157894736842,94.73684210526315,26314,100.0,85.85923842821312,14.14076157178688,100.0,90.84137721365053,9.158622786349472,0,0,0,72.18964290618896
8026,0.05,zero_out,4,100.0,100.0,0.0,100.0,100.0,0.0,26348,100.0,98.95248216183391,1.0475178381660848,100.0,99.63944132381964,0.36055867618035525,0,0,0,55.36378836631775
8026,0.1,zero_out,4,100.0,75.0,25.0,100.0,75.0,25.0,26348,100.0,97.54061029300136,2.4593897069986337,100.0,99.03218460604221,0.9678153939577957,0,0,0,56.79706001281738
8026,0.15,zero_out,4,100.0,25.0,75.0,100.0,25.0,75.0,26348,100.0,96.23500834977987,3.764991650220131,100.0,98.3945650523759,1.605434947624108,0,0,0,62.26958465576172
8026,0.2,zero_out,4,100.0,0.0,100.0,100.0,0.0,100.0,26348,100.0,95.38864429937757,4.611355700622438,100.0,98.04159708516775,1.9584029148322455,0,0,0,59.19310259819031
8026,0.25,zero_out,4,100.0,0.0,100.0,100.0,0.0,100.0,26348,100.0,95.00910885076667,4.990891149233338,100.0,97.90116896918171,2.0988310308182783,0,0,0,59.47793173789978
8026,0.3,zero_out,4,100.0,0.0,100.0,100.0,0.0,100.0,26348,100.0,94.92561105207227,5.074388947927736,100.0,97.83285258843176,2.1671474115682403,0,0,0,59.57574677467346
71386,0.05,zero_out,180,100.0,98.33333333333333,1.6666666666666667,100.0,98.88888888888889,1.1111111111111112,26172,100.0,96.76371694941159,3.236283050588415,100.0,98.59009628610728,1.4099037138927097,0,0,0,62.574475049972534
71386,0.1,zero_out,180,100.0,94.44444444444444,5.555555555555555,100.0,95.0,5.0,26172,100.0,91.68195017576035,8.318049824239646,100.0,95.56396148555709,4.436038514442916,0,0,0,77.70557141304016
71386,0.15,zero_out,180,100.0,74.44444444444444,25.555555555555554,100.0,76.11111111111111,23.88888888888889,26172,100.0,83.42503438789547,16.57496561210454,100.0,88.39217484334402,11.607825156655968,0,0,0,79.47157645225525
71386,0.2,zero_out,180,100.0,16.11111111111111,83.88888888888889,100.0,16.666666666666664,83.33333333333334,26172,100.0,73.19272504967141,26.807274950328598,100.0,78.55723674155585,21.44276325844414,0,0,0,81.38086605072021
71386,0.25,zero_out,180,100.0,12.777777777777777,87.22222222222223,100.0,12.777777777777777,87.22222222222223,26172,100.0,68.51979214427632,31.480207855723673,100.0,73.77731927250497,26.222680727495035,0,0,0,81.95047068595886
71386,0.3,zero_out,180,100.0,10.0,90.0,100.0,10.0,90.0,26172,100.0,66.15848998930154,33.84151001069846,100.0,71.28228641296042,28.717713587039583,0,0,0,82.0934898853302
